num,PET,variation,category,orig_text,clean_text,char_count,word_count,edited_text,label
277,engelli,engelliler,physical/mental attributes,"İzev (İstanbul Zihinsel Engelliler İçin Eğitim ve Dayanışma Vakfı) tarafından hazırlanan ve zihinsel engelli bireylerin sesini sanat yoluyla duyurmayı hedefleyen projede resim sanatına damga vuran ressamlarının 12 klasik eserleri, down sendromlu gençlerin fotoğraflarıyla birleştirilerek yeniden yorumlanıyor. Koleksiyon birçok ilde havaalanları, sanat evleri, galeriler ve müzelerde sergilenecek. Etiketler:","i̇zev (i̇stanbul zihinsel engelliler i̇çin eğitim ve dayanışma vakfı) tarafından hazırlanan ve zihinsel engelli bireylerin sesini sanat yoluyla duyurmayı hedefleyen projede resim sanatına damga vuran ressamlarının 12 klasik eserleri, down sendromlu gençlerin fotoğraflarıyla birleştirilerek yeniden yorumlanıyor. koleksiyon birçok ilde havaalanları, sanat evleri, galeriler ve müzelerde sergilenecek. etiketler:",411,47,"İzev (İstanbul Zihinsel [PET_BOUNDARY]Engelliler[PET_BOUNDARY] İçin Eğitim ve Dayanışma Vakfı) tarafından hazırlanan ve zihinsel engelli bireylerin sesini sanat yoluyla duyurmayı hedefleyen projede resim sanatına damga vuran ressamlarının 12 klasik eserleri, down sendromlu gençlerin fotoğraflarıyla birleştirilerek yeniden yorumlanıyor. Koleksiyon birçok ilde havaalanları, sanat evleri, galeriler ve müzelerde sergilenecek. Etiketler:",1
278,engelli,engelli,physical/mental attributes,"3 yıllık doping cezası sonrası pistlerden uzak kalan Nevin Yanıt, 6 Mart’ta başlayacak Dünya Salon Atletizm Şampiyonası’nda yeniden yarış heyecanı yaşayacak. Milli atlet, Amerika Birleşik Devletleri’nin ev sahipliği yaptığı organizasyonda, 60 metre engelli yarışında 8.14’ün altında koşarsa, dünya barajını geçecek. Yanıt, bu durumda memleketi Mersin’de Rio Olimpiyat kotası için piste çıkma hakkı kazanacak. (Trtspor)","3 yıllık doping cezası sonrası pistlerden uzak kalan nevin yanıt, 6 mart’ta başlayacak dünya salon atletizm şampiyonası’nda yeniden yarış heyecanı yaşayacak. milli atlet, amerika birleşik devletleri’nin ev sahipliği yaptığı organizasyonda, 60 metre engelli yarışında 8.14’ün altında koşarsa, dünya barajını geçecek. yanıt, bu durumda memleketi mersin’de rio olimpiyat kotası için piste çıkma hakkı kazanacak. (trtspor)",418,54,"3 yıllık doping cezası sonrası pistlerden uzak kalan Nevin Yanıt, 6 Mart’ta başlayacak Dünya Salon Atletizm Şampiyonası’nda yeniden yarış heyecanı yaşayacak. Milli atlet, Amerika Birleşik Devletleri’nin ev sahipliği yaptığı organizasyonda, 60 metre [PET_BOUNDARY]engelli[PET_BOUNDARY] yarışında 8.14’ün altında koşarsa, dünya barajını geçecek. Yanıt, bu durumda memleketi Mersin’de Rio Olimpiyat kotası için piste çıkma hakkı kazanacak. (Trtspor)",0
279,engelli,engellide,physical/mental attributes,"2016 Rio Olimpiyat Oyunları’nda Türkiye’yi temsil eden sarı-lacivertli atletler Yasmani Copello Escobar ve Ramil Guliyev, Fenerbahçe Can Bartu Tesisleri’ni ziyaret etti. Escobar ve Guliyev, futbolcular ve teknik ekiple bir araya gelerek sohbet etti. Atletler, Grasshoppers maçı öncesi Fenerbahçeli oyunculara başarılar diledi. Olimpiyatlarda Escobar 400 metre engellide bronz madalya kazanmış, Guliyev ise 200 metre finalinde koşmuştu.","2016 rio olimpiyat oyunları’nda türkiye’yi temsil eden sarı-lacivertli atletler yasmani copello escobar ve ramil guliyev, fenerbahçe can bartu tesisleri’ni ziyaret etti. escobar ve guliyev, futbolcular ve teknik ekiple bir araya gelerek sohbet etti. atletler, grasshoppers maçı öncesi fenerbahçeli oyunculara başarılar diledi. olimpiyatlarda escobar 400 metre engellide bronz madalya kazanmış, guliyev ise 200 metre finalinde koşmuştu.",435,55,"2016 Rio Olimpiyat Oyunları’nda Türkiye’yi temsil eden sarı - lacivertli atletler Yasmani Copello Escobar ve Ramil Guliyev, Fenerbahçe Can Bartu Tesisleri’ni ziyaret etti. Escobar ve Guliyev, futbolcular ve teknik ekiple bir araya gelerek sohbet etti. Atletler, Grasshoppers maçı öncesi Fenerbahçeli oyunculara başarılar diledi. Olimpiyatlarda Escobar 400 metre [PET_BOUNDARY]engellide[PET_BOUNDARY] bronz madalya kazanmış, Guliyev ise 200 metre finalinde koşmuştu.",0
280,engelli,engellilerin,physical/mental attributes,"Engellilerin yaşadıkları sıkıntıları, yapmış oldukları kartpostallar ile dile getiren minikler, ailelerinin de bu konuya duyarlı olmalarını sağladılar ve kendi harçlıkları ile ailelerinin bağışlarını birleştirerek dernek yetkililerine sundular. Dernek başkanı Kemal DEMİREL çocuklarımızın bu duyarlı davranışları için kendilerine teşekkür etti. Etiketler: anakent , Anakent İlkokulu , engelli ,","engellilerin yaşadıkları sıkıntıları, yapmış oldukları kartpostallar ile dile getiren minikler, ailelerinin de bu konuya duyarlı olmalarını sağladılar ve kendi harçlıkları ile ailelerinin bağışlarını birleştirerek dernek yetkililerine sundular. dernek başkanı kemal demi̇rel çocuklarımızın bu duyarlı davranışları için kendilerine teşekkür etti. etiketler: anakent , anakent i̇lkokulu , engelli ,",396,47,"[PET_BOUNDARY]Engellilerin[PET_BOUNDARY] yaşadıkları sıkıntıları, yapmış oldukları kartpostallar ile dile getiren minikler, ailelerinin de bu konuya duyarlı olmalarını sağladılar ve kendi harçlıkları ile ailelerinin bağışlarını birleştirerek dernek yetkililerine sundular. Dernek başkanı Kemal DEMİREL çocuklarımızın bu duyarlı davranışları için kendilerine teşekkür etti. Etiketler: anakent , Anakent İlkokulu , engelli ,",1
281,engelli,engelli,physical/mental attributes,"KÜLTÜR SANAT Türkiye’de bir ilki gerçekleştirerek aynı anda engelli engelsiz tüm sinema severleri aynı seansta buluşturabilen SineBU, festivalin 6 kısa filmi GETEM işbirliği ile sesli betimlemeli, ayrıntılı alt yazılı ve işaret dili tercümesi yapılmış haliyle bugün saat 14:00 - 16:30 seanslarında Boğaziçi Üniversitesi SineBu Sinemaları’nda gösterilecek. Etiketler: ABD , Roma , bugün , Paris , sinema , Londra , İstanbul , New York , Boğaziçi Üniversitesi","kültür sanat türkiye’de bir ilki gerçekleştirerek aynı anda engelli engelsiz tüm sinema severleri aynı seansta buluşturabilen sinebu, festivalin 6 kısa filmi getem işbirliği ile sesli betimlemeli, ayrıntılı alt yazılı ve işaret dili tercümesi yapılmış haliyle bugün saat 14:00 - 16:30 seanslarında boğaziçi üniversitesi sinebu sinemaları’nda gösterilecek. etiketler: abd , roma , bugün , paris , sinema , londra , i̇stanbul , new york , boğaziçi üniversitesi",458,66,"KÜLTÜR SANAT Türkiye’de bir ilki gerçekleştirerek aynı anda [PET_BOUNDARY]engelli[PET_BOUNDARY] engelsiz tüm sinema severleri aynı seansta buluşturabilen SineBU, festivalin 6 kısa filmi GETEM işbirliği ile sesli betimlemeli, ayrıntılı alt yazılı ve işaret dili tercümesi yapılmış haliyle bugün saat 14:00  -  16:30 seanslarında Boğaziçi Üniversitesi SineBu Sinemaları’nda gösterilecek. Etiketler: ABD , Roma , bugün , Paris , sinema , Londra , İstanbul , New York , Boğaziçi Üniversitesi",1
282,engelli,engelli,physical/mental attributes,"Fatih Mahallesi 825 Sokak'ta zihinsel engelli Mehmet H'nın evinden kötü kokular gelmesi üzerine mahalle sakinleri durumu belediyeye bildirdi. Üç gün önce temizlenen evin yeniden çöple doldurulduğunu tespit eden ekipler, Mehmet H. ile kendisi gibi zihinsel engelli olan annesi Hatice H'nın engellemesiyle karşılaştı. İlçe Emniyet Müdürlüğü ekiplerinin de ikna edemediği anne ve oğlu, biber gazı kullanılarak evden çıkarıldı. Belediyesi ekipleri, evden 7 kamyon dolusu çöp çıkardı.","fatih mahallesi 825 sokak'ta zihinsel engelli mehmet h'nın evinden kötü kokular gelmesi üzerine mahalle sakinleri durumu belediyeye bildirdi. üç gün önce temizlenen evin yeniden çöple doldurulduğunu tespit eden ekipler, mehmet h. ile kendisi gibi zihinsel engelli olan annesi hatice h'nın engellemesiyle karşılaştı. i̇lçe emniyet müdürlüğü ekiplerinin de ikna edemediği anne ve oğlu, biber gazı kullanılarak evden çıkarıldı. belediyesi ekipleri, evden 7 kamyon dolusu çöp çıkardı.",480,65,"Fatih Mahallesi 825 Sokak'ta zihinsel [PET_BOUNDARY]engelli[PET_BOUNDARY] Mehmet H'nın evinden kötü kokular gelmesi üzerine mahalle sakinleri durumu belediyeye bildirdi. Üç gün önce temizlenen evin yeniden çöple doldurulduğunu tespit eden ekipler, Mehmet H. ile kendisi gibi zihinsel engelli olan annesi Hatice H'nın engellemesiyle karşılaştı. İlçe Emniyet Müdürlüğü ekiplerinin de ikna edemediği anne ve oğlu, biber gazı kullanılarak evden çıkarıldı. Belediyesi ekipleri, evden 7 kamyon dolusu çöp çıkardı.",1
283,engelli,engellilerin,physical/mental attributes,"Bütün farklılıkların bir arada sevgiyle yaşandığı, geleceğine güvenen, gençlerin, kadınların ve engellilerin eşit şanslara sahip olduğu, yaşam kalitesinin her geçen gün yükseldiği, vicdanlı, hukukun üstünlüğüne inancın tam olduğu bir ülkede; ülkesini seven ve bu ülkede yaşamaktan sevinç duyan insanlarla bir arada yaşamak büyük mutluluk. Sabancı Holding Yönetim Kurulu Başkanı","bütün farklılıkların bir arada sevgiyle yaşandığı, geleceğine güvenen, gençlerin, kadınların ve engellilerin eşit şanslara sahip olduğu, yaşam kalitesinin her geçen gün yükseldiği, vicdanlı, hukukun üstünlüğüne inancın tam olduğu bir ülkede; ülkesini seven ve bu ülkede yaşamaktan sevinç duyan insanlarla bir arada yaşamak büyük mutluluk. sabancı holding yönetim kurulu başkanı",377,49,"Bütün farklılıkların bir arada sevgiyle yaşandığı, geleceğine güvenen, gençlerin, kadınların ve [PET_BOUNDARY]engellilerin[PET_BOUNDARY] eşit şanslara sahip olduğu, yaşam kalitesinin her geçen gün yükseldiği, vicdanlı, hukukun üstünlüğüne inancın tam olduğu bir ülkede; ülkesini seven ve bu ülkede yaşamaktan sevinç duyan insanlarla bir arada yaşamak büyük mutluluk. Sabancı Holding Yönetim Kurulu Başkanı",1
284,fındık kırmak,fındık kırdıkça,sexual activity,"""Bu arada  David fındık kırdıkça , Victoria çocuk yapar .""","""bu arada  david fındık kırdıkça victoriaocuk yapar",51,7,"""Bu arada  David [PET_BOUNDARY]fındık kırdıkça[PET_BOUNDARY], Victoria çocuk yapar.""",1
285,fındık kırmak,fındık kırarsa,sexual activity,Erkek  fındık kırarsa bu Uçarılık olur .,erkek  fındık kırarsa bu uçarılık olur,38,6,Erkek  [PET_BOUNDARY]fındık kırarsa[PET_BOUNDARY] bu Uçarılık olur.,1
286,fındık kırmak,fındıklar kırdığıda,sexual activity,Yarın öbür gün başka fındıklar kırdığıda ortaya  çıkarsa şaşırmayın .,yarınbür gün başka fındıklar kırdığıda ortaya karsaaşırmayın,60,7,Yarın öbür gün başka [PET_BOUNDARY]fındıklar kırdığıda[PET_BOUNDARY] ortaya  çıkarsa şaşırmayın.,1
287,fındık kırmak,fındık kırarak,sexual activity,"""Yay uzun uzun çekilirken kıvranarak , ani bir nağmei ricatla birden doğrularak  , kollarını göğsünde titreterek , parmaklarıyla fındık kırarak dönüyor , redingotunun etekleriyle  kabaran göbeği muntazam daireler çiziyor , bazen pek sevgili bir arkadaşının önüne  giderek göğsüne yatıyor , alnından öptürüyordu .""","""yay uzun uzunekilirken kıvranarak ani bir nağmei ricatla birden doğrularak  kollarını göğsünde titreterek parmaklarıyla fındık kırarak dönüyor redingotunun etekleriyle  kabaran göbeği muntazam daireleriziyor bazen pek sevgili bir arkadaşınınnüne  giderek göğsüne yatıyor alnındanptürüyordu",290,32,"""Yay uzun uzun çekilirken kıvranarak, ani bir nağmei ricatla birden doğrularak , kollarını göğsünde titreterek, parmaklarıyla [PET_BOUNDARY]fındık kırarak[PET_BOUNDARY] dönüyor, redingotunun etekleriyle  kabaran göbeği muntazam daireler çiziyor, bazen pek sevgili bir arkadaşının önüne  giderek göğsüne yatıyor, alnından öptürüyordu.""",1
288,fındık kırmak,fındık kırar,sexual activity,"""cok  kilolu diyorlar ama ilk 25 - 30 metre deparda ronaldo gibi süratli  bir futbolcu cok nadir rekormuş Ronaldo o belle , o göbekle rekor  değil , anca fındık kırar .""","""cok  kilolu diyorlar ama ilk   metre deparda ronaldo gibi süratli  bir futbolcu cok nadir rekormuş ronaldo o belle o göbekle rekor  değil anca fındık kırar",156,25,"""cok  kilolu diyorlar ama ilk 25 - 30 metre deparda ronaldo gibi süratli  bir futbolcu cok nadir rekormuş Ronaldo o belle, o göbekle rekor  değil, anca [PET_BOUNDARY]fındık kırar[PET_BOUNDARY].""",0
289,fındık kırmak,fındık kırma,sexual activity,Binlerce  insan çalışıyor Tarım ekonomisinde olan biteni çok iyi izleyen Ali Ekber Yıldırım’dan  aldığım bilgilere göre fındıkları iqşlemek için de 1 milyon 250 bin ton  kapasiteli ( dikkat buyurunuz yıllık üretim 650 bin ton ) 170’in üzenide  fındık kırma fbarikası ve 300 bin ton iç fındık işleme kapasitesine sahip  20’nin üzerinde fındık işleme tesisi var .,binlerce  insanalışıyor tarım ekonomisinde olan biteniok iyi izleyen ali ekber yıldırım’dan  aldığım bilgilere göre fındıkları iqşlemek için de  milyon  bin ton  kapasiteli dikkat buyurunuz yıllıkretim  bin toninzenide  fındık kırma fbarikası ve  bin ton iç fındık işleme kapasitesine sahip ninzerinde fındık işleme tesisi var,326,43,Binlerce  insan çalışıyor Tarım ekonomisinde olan biteni çok iyi izleyen Ali Ekber Yıldırım’dan  aldığım bilgilere göre fındıkları iqşlemek için de 1 milyon 250 bin ton  kapasiteli (dikkat buyurunuz yıllık üretim 650 bin ton) 170’in üzenide  [PET_BOUNDARY]fındık kırma[PET_BOUNDARY] fbarikası ve 300 bin ton iç fındık işleme kapasitesine sahip  20’nin üzerinde fındık işleme tesisi var.,0
290,gelişmekte olan ülke,gelişmekte olan ülke,politics,"Güney Afrika Çevre Bakanı Buyelwa Sonjica, Danimarka'nın başkentinde geçen Cuma günü sona eren konferanstan dönüşünde yaptığı açıklamada, ""ev sahibinin görüşmeleri idare şeklinin"" de başarısız sonuçta etkisi olduğunu söyledi. İklim görüşmeleri, gelişmiş ve gelişmekte olan ülkeler arasındaki derin görüş ayrılıklarının giderilememesi üzerine, başlangıçtaki hedeflerin çok gerisine düşen bağlayıcılığı bulunmayan zayıf bir anlaşmayla sona ermişti.","güney afrika çevre bakanı buyelwa sonjica, danimarka'nın başkentinde geçen cuma günü sona eren konferanstan dönüşünde yaptığı açıklamada, ""ev sahibinin görüşmeleri idare şeklinin"" de başarısız sonuçta etkisi olduğunu söyledi. i̇klim görüşmeleri, gelişmiş ve gelişmekte olan ülkeler arasındaki derin görüş ayrılıklarının giderilememesi üzerine, başlangıçtaki hedeflerin çok gerisine düşen bağlayıcılığı bulunmayan zayıf bir anlaşmayla sona ermişti.",447,53,"Güney Afrika Çevre Bakanı Buyelwa Sonjica, Danimarka'nın başkentinde geçen Cuma günü sona eren konferanstan dönüşünde yaptığı açıklamada, ""ev sahibinin görüşmeleri idare şeklinin"" de başarısız sonuçta etkisi olduğunu söyledi. İklim görüşmeleri, gelişmiş ve [PET_BOUNDARY]gelişmekte olan ülke[PET_BOUNDARY]ler arasındaki derin görüş ayrılıklarının giderilememesi üzerine, başlangıçtaki hedeflerin çok gerisine düşen bağlayıcılığı bulunmayan zayıf bir anlaşmayla sona ermişti.",0
291,gelişmekte olan ülke,gelişmekte olan ülke,politics,"FİYATI 8000-11.000 EURO ARASINDA Özellikle Asya piyasaları için üretilecek olan otomobillerin Çin’de imal edileceğini kaydeden Winterkorn, farklı üç model otomobil üretileceğini ve fiyatlarının ise 8000 ile 11000 Euro arasında olacağını söyledi. Üretilecek otomobillerin gelişmekte olan ülkelerde de piyasaya sürülebileceği belirtiliyor. VW ucuz otomobil ile, özellikle Renault, Toyota ve Hyundai gibi markalarla Çin ve Hindistan pazarında rekabet etmeyi amaçlıyor.","fi̇yati 8000-11.000 euro arasinda özellikle asya piyasaları için üretilecek olan otomobillerin çin’de imal edileceğini kaydeden winterkorn, farklı üç model otomobil üretileceğini ve fiyatlarının ise 8000 ile 11000 euro arasında olacağını söyledi. üretilecek otomobillerin gelişmekte olan ülkelerde de piyasaya sürülebileceği belirtiliyor. vw ucuz otomobil ile, özellikle renault, toyota ve hyundai gibi markalarla çin ve hindistan pazarında rekabet etmeyi amaçlıyor.",466,58,"FİYATI 8000 - 11.000 EURO ARASINDA Özellikle Asya piyasaları için üretilecek olan otomobillerin Çin’de imal edileceğini kaydeden Winterkorn, farklı üç model otomobil üretileceğini ve fiyatlarının ise 8000 ile 11000 Euro arasında olacağını söyledi. Üretilecek otomobillerin [PET_BOUNDARY]gelişmekte olan ülke[PET_BOUNDARY]lerde de piyasaya sürülebileceği belirtiliyor. VW ucuz otomobil ile, özellikle Renault, Toyota ve Hyundai gibi markalarla Çin ve Hindistan pazarında rekabet etmeyi amaçlıyor.",0
292,gelişmekte olan ülke,gelişmekte olan ülke,politics,"DSÖ yetkililerinden Francesco Branca, bu ülkelerde kötü beslenme, emzirme oranının azlığı, hareketsizlik nedeniyle obez çocukların sayısının arttığını belirtti. Branca, gelişmekte olan ülkelerdeki çocukların gerekli vitamin ve mineral oranı az, şeker ve yağ oranı yüksek gıdalarla beslendiğine dikkati çekti. Afrika'da 5 yaş altındaki obez çocuk sayısı 1990'da 4 milyonken bu sayının geçen yıl 13,5 milyona çıktığı, Asya'da çocuklarda obezitenin yüzde 3,2'den yüzde 4,9'a yükseldiği vurgulandı.","dsö yetkililerinden francesco branca, bu ülkelerde kötü beslenme, emzirme oranının azlığı, hareketsizlik nedeniyle obez çocukların sayısının arttığını belirtti. branca, gelişmekte olan ülkelerdeki çocukların gerekli vitamin ve mineral oranı az, şeker ve yağ oranı yüksek gıdalarla beslendiğine dikkati çekti. afrika'da 5 yaş altındaki obez çocuk sayısı 1990'da 4 milyonken bu sayının geçen yıl 13,5 milyona çıktığı, asya'da çocuklarda obezitenin yüzde 3,2'den yüzde 4,9'a yükseldiği vurgulandı.",494,64,"DSÖ yetkililerinden Francesco Branca, bu ülkelerde kötü beslenme, emzirme oranının azlığı, hareketsizlik nedeniyle obez çocukların sayısının arttığını belirtti. Branca, [PET_BOUNDARY]gelişmekte olan ülke[PET_BOUNDARY]lerdeki çocukların gerekli vitamin ve mineral oranı az, şeker ve yağ oranı yüksek gıdalarla beslendiğine dikkati çekti. Afrika'da 5 yaş altındaki obez çocuk sayısı 1990'da 4 milyonken bu sayının geçen yıl 13,5 milyona çıktığı, Asya'da çocuklarda obezitenin yüzde 3,2'den yüzde 4,9'a yükseldiği vurgulandı.",1
293,gelişmekte olan ülke,gelişmekte olan ülke,politics,"Uluslararası kredi derecelendirme kuruluşu StandardPoor's (SP), Brezilya ’nın kredi notunu BBB-'den BB+ya indirerek çöp statüsüne çekti. Not görünümü negatifte tutuldu. Brezilya'nın ""yatırım yapılabilir"" notunu kaybetmesinin etkisiyle Asya piyasalarında dolar gelişmekte olan ülke para birimlerine karşı değer kazandı, borsalarda düşüşler görüldü. 100.000$ Sanal Para ve Eğitim Rehberi ile Forex’i Ücretsiz Öğrenin! 2016 Yılı 4.Çeyrek Kâr/Zarar Oranı: %18 / %82 Etiketler: dolar , Brezilya","uluslararası kredi derecelendirme kuruluşu standardpoor's (sp), brezilya ’nın kredi notunu bbb-'den bb+ya indirerek çöp statüsüne çekti. not görünümü negatifte tutuldu. brezilya'nın ""yatırım yapılabilir"" notunu kaybetmesinin etkisiyle asya piyasalarında dolar gelişmekte olan ülke para birimlerine karşı değer kazandı, borsalarda düşüşler görüldü. 100.000$ sanal para ve eğitim rehberi ile forex’i ücretsiz öğrenin! 2016 yılı 4.çeyrek kâr/zarar oranı: %18 / %82 etiketler: dolar , brezilya",489,62,"Uluslararası kredi derecelendirme kuruluşu StandardPoor's (SP), Brezilya ’nın kredi notunu BBB - 'den BB+ya indirerek çöp statüsüne çekti. Not görünümü negatifte tutuldu. Brezilya'nın ""yatırım yapılabilir"" notunu kaybetmesinin etkisiyle Asya piyasalarında dolar [PET_BOUNDARY]gelişmekte olan ülke[PET_BOUNDARY] para birimlerine karşı değer kazandı, borsalarda düşüşler görüldü. 100.000  Sanal Para ve Eğitim Rehberi ile Forex’i Ücretsiz Öğrenin! 2016 Yılı 4.Çeyrek Kâr / Zarar Oranı: %18  /  %82 Etiketler: dolar , Brezilya",0
294,gelişmekte olan ülke,gelişmekte olan ülke,politics,"IHA Moody’s, Türkiye’nin dış risklere karşı en kırılan gelişmekte olan ülke olduğunu belirtti. Uluslararası kredi derecelendirme kuruluşu Moody’s Türkiye’nin dış sermayeye yüksek bağıklılığı ve büyük dış borç stokunun artan siyasi kriz ile biraraya gelmesi nedeniyle dış risklere karşı en kırılgan gelişmekte olan ülke olduğunu açıkladı. Etiketler: İstanbul Haberleri « önceki haber sonraki haber »","iha moody’s, türkiye’nin dış risklere karşı en kırılan gelişmekte olan ülke olduğunu belirtti. uluslararası kredi derecelendirme kuruluşu moody’s türkiye’nin dış sermayeye yüksek bağıklılığı ve büyük dış borç stokunun artan siyasi kriz ile biraraya gelmesi nedeniyle dış risklere karşı en kırılgan gelişmekte olan ülke olduğunu açıkladı. etiketler: i̇stanbul haberleri « önceki haber sonraki haber »",399,54,"IHA Moody’s, Türkiye’nin dış risklere karşı en kırılan [PET_BOUNDARY]gelişmekte olan ülke[PET_BOUNDARY] olduğunu belirtti. Uluslararası kredi derecelendirme kuruluşu Moody’s Türkiye’nin dış sermayeye yüksek bağıklılığı ve büyük dış borç stokunun artan siyasi kriz ile biraraya gelmesi nedeniyle dış risklere karşı en kırılgan gelişmekte olan ülke olduğunu açıkladı. Etiketler: İstanbul Haberleri « önceki haber sonraki haber »",0
295,gelişmekte olan ülke,gelişmekte olan ülke,politics,"2011’de devraldığı IMF Başkanlığı’nı sürdürmesine oybirliğiyle karar verilen Lagarde’ın yeni dönemi 5 Temmuz ’da başlayacak. Avrupa ’daki finansal krizin kontrol altına alınmasında önemli rol oynayan Lagarde, IMF’de gelişmekte olan ülkelerin daha fazla söz sahibi olmasını da sağladı. Etiketler: Temmuz , Avrupa , Uluslararası Para Fonu","2011’de devraldığı imf başkanlığı’nı sürdürmesine oybirliğiyle karar verilen lagarde’ın yeni dönemi 5 temmuz ’da başlayacak. avrupa ’daki finansal krizin kontrol altına alınmasında önemli rol oynayan lagarde, imf’de gelişmekte olan ülkelerin daha fazla söz sahibi olmasını da sağladı. etiketler: temmuz , avrupa , uluslararası para fonu",336,45,"2011’de devraldığı IMF Başkanlığı’nı sürdürmesine oybirliğiyle karar verilen Lagarde’ın yeni dönemi 5 Temmuz ’da başlayacak. Avrupa ’daki finansal krizin kontrol altına alınmasında önemli rol oynayan Lagarde, IMF’de [PET_BOUNDARY]gelişmekte olan ülke[PET_BOUNDARY]lerin daha fazla söz sahibi olmasını da sağladı. Etiketler: Temmuz , Avrupa , Uluslararası Para Fonu",0
296,gelişmekte olan ülke,gelişmekte olan ülke,politics,"İZMİR Milliyet Menemen Belediye Başkanı Tahir Şahin, ""Gelişmekte olan ülkelere ve bireylere yardım etmek bizim özelliğimiz olduğu için teklifi hiç düşünmeden kabul ettik. Bu eğitimin başka bir önemi de toprak sanatında ilçemizin ne kadar ileri bir düzeyde olduğunun göstergesidir. Bizim için en büyük onur, burada öğrendiklerini kendi ülkelerinde uygulamaları ve başkalarına da öğretmeleri olacak"" dedi. Etiketler: haber , haberler ,","i̇zmi̇r milliyet menemen belediye başkanı tahir şahin, ""gelişmekte olan ülkelere ve bireylere yardım etmek bizim özelliğimiz olduğu için teklifi hiç düşünmeden kabul ettik. bu eğitimin başka bir önemi de toprak sanatında ilçemizin ne kadar ileri bir düzeyde olduğunun göstergesidir. bizim için en büyük onur, burada öğrendiklerini kendi ülkelerinde uygulamaları ve başkalarına da öğretmeleri olacak"" dedi. etiketler: haber , haberler ,",435,60,"İZMİR Milliyet Menemen Belediye Başkanı Tahir Şahin, ""[PET_BOUNDARY]Gelişmekte olan ülke[PET_BOUNDARY]lere ve bireylere yardım etmek bizim özelliğimiz olduğu için teklifi hiç düşünmeden kabul ettik. Bu eğitimin başka bir önemi de toprak sanatında ilçemizin ne kadar ileri bir düzeyde olduğunun göstergesidir. Bizim için en büyük onur, burada öğrendiklerini kendi ülkelerinde uygulamaları ve başkalarına da öğretmeleri olacak"" dedi. Etiketler: haber , haberler ,",1
297,gelişmekte olan ülke,gelişmekte olan ülke,politics,"EKONOMİ SERVİSİ Gelişmekte olan ülkelere ait 50 milyar dolarlık varlık yöneten Franklin Templeton Fonu’nun yöneticisi olan Mark Mobius (77), kötü günlerin henüz geride kalmadığı yorumunda bulundu. Bloomberg’e konuşan Mobius, ""Olumsuz algı hâlâ yerli yerinde. O yüzden daha çok satış bekleyebilirsiniz"" dedi. Öte yandan Harvard Üniversitesi Profesörü Kenneth Rogoff’a göre ise gelişmekte olan ülke piyasaları korkulduğu kadar kırılgan değil. Etiketler: Harvard , Harvard Üniversitesi","ekonomi̇ servi̇si̇ gelişmekte olan ülkelere ait 50 milyar dolarlık varlık yöneten franklin templeton fonu’nun yöneticisi olan mark mobius (77), kötü günlerin henüz geride kalmadığı yorumunda bulundu. bloomberg’e konuşan mobius, ""olumsuz algı hâlâ yerli yerinde. o yüzden daha çok satış bekleyebilirsiniz"" dedi. öte yandan harvard üniversitesi profesörü kenneth rogoff’a göre ise gelişmekte olan ülke piyasaları korkulduğu kadar kırılgan değil. etiketler: harvard , harvard üniversitesi",485,63,"EKONOMİ SERVİSİ [PET_BOUNDARY]Gelişmekte olan ülke[PET_BOUNDARY]lere ait 50 milyar dolarlık varlık yöneten Franklin Templeton Fonu’nun yöneticisi olan Mark Mobius (77), kötü günlerin henüz geride kalmadığı yorumunda bulundu. Bloomberg’e konuşan Mobius, ""Olumsuz algı hâlâ yerli yerinde. O yüzden daha çok satış bekleyebilirsiniz"" dedi. Öte yandan Harvard Üniversitesi Profesörü Kenneth Rogoff’a göre ise gelişmekte olan ülke piyasaları korkulduğu kadar kırılgan değil. Etiketler: Harvard , Harvard Üniversitesi",1
298,gelişmekte olan ülke,gelişmekte olan ülke,politics,"ABD Merkez Bankası’nın aldığı kararlar, piyasalarda deprem etkisi yaratırken, altın fiyatları da çakıldı. Altının ons fiyatı yüzde 2’den fazla düşerek 1.316 dolarla 2.5 yılın dibine geriledi. Gelişmekte olan ülke piyasalarında satışlar devam ederken, dolar içeride de 1.915 TL’yi geçti. Borsa İstanbul’da düşüş yüzde 3,6’ya ulaştı.","abd merkez bankası’nın aldığı kararlar, piyasalarda deprem etkisi yaratırken, altın fiyatları da çakıldı. altının ons fiyatı yüzde 2’den fazla düşerek 1.316 dolarla 2.5 yılın dibine geriledi. gelişmekte olan ülke piyasalarında satışlar devam ederken, dolar içeride de 1.915 tl’yi geçti. borsa i̇stanbul’da düşüş yüzde 3,6’ya ulaştı.",332,45,"ABD Merkez Bankası’nın aldığı kararlar, piyasalarda deprem etkisi yaratırken, altın fiyatları da çakıldı. Altının ons fiyatı yüzde 2’den fazla düşerek 1.316 dolarla 2.5 yılın dibine geriledi. [PET_BOUNDARY]Gelişmekte olan ülke[PET_BOUNDARY] piyasalarında satışlar devam ederken, dolar içeride de 1.915 TL’yi geçti. Borsa İstanbul’da düşüş yüzde 3,6’ya ulaştı.",1
